date,close,turnover_rate_f,pct_chg
2009-07-17,3519.809,3.23,0.5304
2009-07-20,3591.123,4.14,2.0261
2009-07-21,3539.832,3.96,-1.4283
2009-07-22,3606.924,3.49,1.8953
2009-07-23,3651.969,3.53,1.2488
2009-07-24,3667.556,3.88,0.4268
2009-07-27,3743.626,4.2,2.0741
2009-07-28,3755.818,4.43,0.3257
2009-07-29,3558.508,5.07,-5.2534
2009-07-30,3634.818,4.08,2.1444
2009-07-31,3734.622,4.0,2.7458
2009-08-03,3787.033,4.12,1.4034
2009-08-04,3786.615,4.25,-0.011
2009-08-05,3740.936,4.02,-1.2063
2009-08-06,3663.12,3.56,-2.0801
2009-08-07,3555.095,3.03,-2.949
2009-08-10,3544.539,2.52,-0.2969
2009-08-11,3556.375,1.92,0.3339
2009-08-12,3397.4,2.75,-4.4701
2009-08-13,3440.82,2.59,1.278
2009-08-14,3344.462,2.62,-2.8004
2009-08-17,3140.271,2.72,-6.1053
2009-08-18,3171.986,2.29,1.0099
2009-08-19,3014.568,2.41,-4.9628
2009-08-20,3144.39,2.34,4.3065
2009-08-21,3203.624,2.55,1.8838
2009-08-24,3229.6,2.37,0.8108
2009-08-25,3109.83,2.87,-3.7085
2009-08-26,3172.386,2.41,2.0116
2009-08-27,3156.301,2.34,-0.507
2009-08-28,3046.781,2.45,-3.4699
2009-08-31,2830.271,2.44,-7.1062
2009-09-01,2843.7,2.04,0.4745
2009-09-02,2890.926,1.76,1.6607
2009-09-03,3051.964,2.69,5.5705
2009-09-04,3077.142,2.51,0.825
2009-09-07,3104.208,2.39,0.8796
2009-09-08,3170.967,2.43,2.1506
2009-09-09,3194.909,2.63,0.755
2009-09-10,3162.914,1.92,-1.0014
2009-09-11,3238.133,2.33,2.3782
2009-09-14,3293.394,2.52,1.7066
2009-09-15,3302.642,2.52,0.2808
2009-09-16,3258.236,2.55,-1.3446
2009-09-17,3320.096,2.64,1.8986
2009-09-18,3199.689,2.9,-3.6266
2009-09-21,3208.604,2.1,0.2786
2009-09-22,3131.026,2.12,-2.4178
2009-09-23,3060.069,1.91,-2.2663
2009-09-24,3080.926,1.88,0.6816
2009-09-25,3058.528,1.32,-0.727
2009-09-28,2972.643,1.21,-2.8081
2009-09-29,2972.286,1.33,-0.012
2009-09-30,3004.805,1.22,1.0941
2009-10-09,3163.708,1.64,5.2883
2009-10-12,3151.632,1.7,-0.3817
2009-10-13,3198.517,1.47,1.4876
2009-10-14,3227.399,2.34,0.903
2009-10-15,3239.643,1.75,0.3794
2009-10-16,3241.709,1.61,0.0638
2009-10-19,3329.158,2.24,2.6976
